DensE1,LongE1,LatE1
951.5564351,-74.1237638,4.480353316
559.1751378,-74.14809235,4.482521723
414.3136586,-74.09943507,4.467874916
621.8760719,-74.11403192,4.469502099
425.843471,-74.09781343,4.47601379
604.3149565,-74.15566154,4.48577648
526.818382,-74.15350119,4.506937629
449.1919792,-74.1405224,4.469500299
403.2399397,-74.09511018,4.471130564
388.8971673,-74.09024451,4.467875133
649.2189427,-74.11673494,4.467874194
454.6668066,-74.10267881,4.4684174
940.1253899,-74.12970969,4.465703031
416.3282987,-74.09240713,4.474386155
458.9582835,-74.13944079,4.465159685
397.8931742,-74.08700082,4.470588125
644.3175125,-74.11186988,4.479268795
475.4448836,-74.08970411,4.481439855
403.8000169,-74.08970394,4.471130674
470.7462035,-74.13944115,4.469500391
638.6443434,-74.11511347,4.475470517
513.1410413,-74.10916629,4.468959737
410.6006142,-74.09673203,4.470587934
638.4218176,-74.11565356,4.465161308
611.4638823,-74.09402928,4.486865653
958.3584874,-74.12484422,4.467331126
516.1812458,-74.08700106,4.48957872
943.5121267,-74.12646587,4.464075489
480.5485183,-74.11132851,4.462991166
497.1035348,-74.10321964,4.474385855
407.5635248,-74.09673202,4.470045346
483.2724005,-74.13673778,4.466245085
468.4827019,-74.14268816,4.506396092
996.5276058,-74.08862371,4.537869023
584.9743284,-74.14809246,4.483606899
873.4238703,-74.11565494,4.491748137
886.4956105,-74.11781645,4.472757431
416.9630293,-74.089704,4.474386205
376.3771146,-74.08862263,4.466789982
457.3111812,-74.1626928,4.511819896
575.4829312,-74.15404031,4.492287706
444.7632536,-74.14809142,4.472755138
443.8038603,-74.10430054,4.464619222
394.4111464,-74.09673187,4.464076871
507.9806506,-74.12916869,4.460277184
399.1878642,-74.0929477,4.471673201
545.9862539,-74.12970946,4.4624475
554.2148729,-74.15511947,4.472211839
492.5794549,-74.13511584,4.465160038
972.4743225,-74.12808779,4.465160556
431.9731215,-74.13889968,4.459191258
513.3942037,-74.10267911,4.477098816
414.9484941,-74.09943505,4.467332327
627.9566157,-74.11241041,4.477098416
659.9014924,-74.10105733,4.4803544
980.10411,-74.11241183,4.506940765
454.1578413,-74.14484727,4.468414738
767.6626054,-74.09943554,4.483609981
387.0389585,-74.09565063,4.464076899
464.1309811,-74.10376011,4.470045128
402.7888537,-74.09132582,4.471673233
891.0537925,-74.11943937,4.491205341
552.8747551,-74.10808528,4.474385668
458.1640193,-74.13403415,4.459191649
497.3447593,-74.10051646,4.472758179
456.5085937,-74.12862789,4.45756428
474.4994931,-74.08862286,4.481982461
506.0173708,-74.10105711,4.473300751
414.9768752,-74.09727263,4.469502743
527.2397833,-74.15566344,4.503681874
541.5191975,-74.15620089,4.473839487
508.8198228,-74.13619842,4.481980188
943.1247147,-74.11565435,4.480353784
498.0775002,-74.1340346,4.465160122
659.0552563,-74.1702672,4.553055576
455.7962938,-74.13403423,4.460276826
521.6215557,-74.09402922,4.484152712
457.0271256,-74.10592244,4.465704338
508.5233968,-74.13295463,4.481980441
422.7181626,-74.10159739,4.46299155
757.1546871,-74.0999762,4.484695141
482.0725757,-74.10105707,4.472215574
886.2621502,-74.08970457,4.508569265
460.4915866,-74.14214431,4.470042746
455.6238195,-74.13024973,4.457564165
590.4195387,-74.14322638,4.479266649
635.5050942,-74.15944682,4.493372293
394.7657886,-74.09619123,4.463534296
402.7881658,-74.0913258,4.470588056
563.0623749,-74.10862592,4.474928233
411.5571832,-74.08700085,4.473301068
470.8236013,-74.13187373,4.486863815
418.7370137,-74.09835392,4.471130479
510.5967726,-74.13457656,4.482522904
384.899233,-74.08537894,4.469502967
541.2620489,-74.15241663,4.474925061
451.603639,-74.10592242,4.46516175
920.3852392,-74.11024862,4.493376164
473.5676603,-74.10592256,4.46895987
443.6911776,-74.08591963,4.475471435
451.3301238,-74.14160251,4.456478085
466.1291081,-74.12214053,4.457564702
641.0070838,-74.11673491,4.467331605
426.2385698,-74.09024463,4.474928784
434.8706599,-74.14268422,4.461903874
415.7228657,-74.09294774,4.473843555
916.4973061,-74.11349233,4.490663071
457.6090074,-74.13998141,4.465159639
828.2226862,-74.10430127,4.484694995
464.5088322,-74.13511563,4.462447096
443.553286,-74.14268388,4.458105755
498.7911394,-74.13728242,4.515620548
617.6314239,-74.13836143,4.487948479
925.5177437,-74.12376356,4.476555198
1065.387453,-74.10376075,4.487950545
463.2983545,-74.14538829,4.472755394
467.0396643,-74.1718872,4.53732035
526.6097726,-74.13025004,4.461904873
459.8985286,-74.13835946,4.464074599
483.9408268,-74.13673874,4.478182027
941.6891642,-74.12376298,4.467331195
606.3535778,-74.13457564,4.470585963
458.7015921,-74.10700368,4.465704296
681.693953,-74.1134919,4.481981659
457.8764966,-74.08916342,4.477641745
382.6950465,-74.09456944,4.466247279
548.0065353,-74.14538859,4.476010923
440.2441955,-74.13835893,4.457563538
514.1579246,-74.13457893,4.512907827
380.4138462,-74.08808203,4.467875167
408.7035508,-74.09294772,4.472758378
515.5968615,-74.09997594,4.476013727
462.6752703,-74.08862279,4.477099165
534.2171314,-74.10700396,4.472757947
422.0836031,-74.09997566,4.466789722
590.4511781,-74.14268575,4.479266697
488.2008021,-74.15025407,4.474382691
594.9152419,-74.1540393,4.482521124
506.9295117,-74.10159773,4.473300733
549.3220811,-74.15782318,4.477637427
414.8910354,-74.08916337,4.474386214
410.2374764,-74.09727261,4.468960154
890.3894204,-74.12430543,4.496088338
462.4074971,-74.13944074,4.464617097
415.2251914,-74.09294776,4.474928732
460.6142566,-74.08916341,4.476556568
452.0842628,-74.14052226,4.467872534
910.3604325,-74.11889761,4.471129606
507.7109274,-74.13403456,4.464617533
504.29969,-74.13673804,4.469500615
457.2909908,-74.12970908,4.457021615
444.4354638,-74.14214312,4.456478038
384.718975,-74.09673188,4.46461946
457.2967567,-74.1291685,4.457564242
551.9208731,-74.13025011,4.46299005
638.0510523,-74.11565353,4.46461872
630.4794926,-74.1248438,4.460820065
464.1050314,-74.14376637,4.472212954
456.318757,-74.10321947,4.469502558
506.9525519,-74.13565748,4.478182114
471.6830684,-74.1394412,4.47004298
